sno,sequence,label,Response,,,,
42,i'm still waiting for my new card.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
43,is my card lost? i am still waiting for it to be delivered.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
44,should i keep waiting for my card to be delivered?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
45,can i track when my card will be delivered?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
46,how can i check on the status of my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
47,"a card has been sent to me, how do i track it?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
48,is there a way i can get my card expedited?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
49,why hasnt my card come in yet?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
50,how can i periodically check the delivery of the card you sent?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
51,what's the reason my new card hasn't come?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
52,i don't have my card after 1 week. what are my next steps?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
53,i know i'm getting a new card but would like know when i can expect to receive it.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
54,i want to find out what happened to my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
55,was there a way for me to get tracking for that?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
56,i am still waiting for my card.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
57,my card hasn't arrived.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
58,can i track the card you sent to me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
59,i haven't gotten my new card.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
60,how long should it take for my new card to arrive in them mail? what should i do if i never receive it?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
61,will i have to wait much longer for my new card to arrive?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
62,how to track the card you sent,card_arrival,"wait for a mintues, we will check the delivery information",,,,
63,2 weeks ago i ordered my new card.  it isn't here.  what should i do?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
64,how can i check on the delivery status of my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
65,what's the expected wait time to recieve my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
66,how can i see the progress of delivery of the card that was sent?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
67,"my card was supposed to arrive, but hasn't?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
68,i ordered a card and would like to know how to track the delivery progress of it.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
69,how long will it take for me to get my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
70,my card hasn't shown up yet.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
71,does the card you sent have a tracking number?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
72,is there a reason my new card hasn't arrived yet?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
73,"i've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
74,how can i track my card's delivery?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
75,can i track the card that was just sent to me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
76,"what's go on, where is my new card?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
77,where is my new card if i haven't received it yet?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
78,where is my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
79,can you tell me why i haven't received my new card yet?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
80,is there a way to track the new card you sent me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
81,i'm still waiting for my card.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
82,what do i need to do to get my new card which i have requested 2 weeks ago?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
83,what is the solution of this problem,card_arrival,"wait for a mintues, we will check the delivery information",,,,
84,could i get tracking on the card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
85,can you help me track my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
86,shouldn't my new card be here by now?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
87,is there a reason my new card hasn't arrived?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
88,"i would like to track a card sent to me, how do i do that?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
89,is there a tracking number for the card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
90,can you share card tracking number?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
91,"i have not received my card and it's been a week, what do i do?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
92,is there a way i can check on the card on route to me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
93,when will my new card arrive?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
94,what is the expected delivery date of my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
95,my card hasn't came in the mail yet?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
96,i haven't received my card.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
97,is it possible for me to track the card is was mailed to me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
98,can you please tell me where my card is? i ordered it 2 weeks ago!,card_arrival,"wait for a mintues, we will check the delivery information",,,,
99,i still haven't received my card in the mail,card_arrival,"wait for a mintues, we will check the delivery information",,,,
100,i'm still waiting for my card that was issued a week ago. what should i do?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
101,i still haven't gotten my new card.  when will it get here?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
102,do you have a tracking number for the card i was sent?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
103,how do i track the card you sent to me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
104,is my new bank card on the way and is there a way to track it?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
105,could you send me and up date on the arrival of my card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
106,how long does it take to recieve my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
107,my card has not come in the mail yet.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
108,what's the card you sent me's tracking number?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
109,i havent got my card,card_arrival,"wait for a mintues, we will check the delivery information",,,,
110,why hasn't my card arrived yet?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
111,i thought i would have received my new card at this point.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
112,how long until my new card gets here?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
113,how much longer until i get my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
114,how long will it be to get this new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
115,how can i track card you sent,card_arrival,"wait for a mintues, we will check the delivery information",,,,
116,can the card was sen to me be tracked?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
117,why have i not got my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
118,i need to track the card sent to me.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
119,"it's been two weeks and i haven't gotten my card, what do i do?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
120,i was expecting my new card by now.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
121,where is the tracking number for the card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
122,i was issued a new card a week ago but still haven't received it. how long will it be until i receive it?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
123,can i track the card that you sent me in the mail?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
124,can you tell me if i can track the card you sent me?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
125,why have i not gotten my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
126,my new card isn't here and it was issued a week ago.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
127,"i was supposed to receive my new card by now, but it hasn't came in.",card_arrival,"wait for a mintues, we will check the delivery information",,,,
128,is a tracking number available for the card that was just sent?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
129,was there a number to track that i could get?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
130,how much longer is it going to take to get my new card?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
131,i haven't gotten my credit card in the mail.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
132,my card hasn't arrived yet. what do i do?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
133,"my card still hasn't arrived after two weeks, now what?",card_arrival,"wait for a mintues, we will check the delivery information",,,,
134,my card appears to have never arrived?,card_arrival,"wait for a mintues, we will check the delivery information",,,,
135,my card never arrived.,card_arrival,"wait for a mintues, we will check the delivery information",,,,
136,my card has been found. is there any way for me to put it back into the app?,card_linking,You can download the app to watch the instruction,,,,
137,i was able to find my card. how to i go about putting it into my app?,card_linking,You can download the app to watch the instruction,,,,
138,how do i get my card to show in the app?,card_linking,You can download the app to watch the instruction,,,,
139,i just got my card.  it's not linked yet--how do i do that?,card_linking,You can download the app to watch the instruction,,,,
140,"lost card found, want to put it back in app",card_linking,You can download the app to watch the instruction,,,,
141,"i just got a card, how can i add it to the app?",card_linking,You can download the app to watch the instruction,,,,
142,is there any way to see my card in the app?,card_linking,You can download the app to watch the instruction,,,,
143,if i find a card i lost do i need to dispose of it? or can i re-active the card and continue to use it?,card_linking,You can download the app to watch the instruction,,,,
144,i found my card. how can i put it into my app?,card_linking,You can download the app to watch the instruction,,,,
145,how do i make my card show up in the app?,card_linking,You can download the app to watch the instruction,,,,
146,can you show me where to link the new card?,card_linking,You can download the app to watch the instruction,,,,
147,i found my old card. can i link it back into the app?,card_linking,You can download the app to watch the instruction,,,,
148,"show me how to link the new card,",card_linking,You can download the app to watch the instruction,,,,
149,how do i add an existing card to the app?,card_linking,You can download the app to watch the instruction,,,,
150,how do i link one of your card that i already have?,card_linking,You can download the app to watch the instruction,,,,
151,if i have a physical card can i link it?,card_linking,You can download the app to watch the instruction,,,,
152,i found my lost card in my jacket pocket this morning so i'd like to reactivate it please.,card_linking,You can download the app to watch the instruction,,,,
153,can i add a card that i just found (again) to the app?,card_linking,You can download the app to watch the instruction,,,,
154,how can i make my card show up in the app?,card_linking,You can download the app to watch the instruction,,,,
155,"i would like to re-activate my card, it was previously reported  lost but i found it this morning.",card_linking,You can download the app to watch the instruction,,,,
156,"okay, i found my card, can i put it back in the app?",card_linking,You can download the app to watch the instruction,,,,
157,can i reactivate a card?,card_linking,You can download the app to watch the instruction,,,,
158,i would like to reactivate a card and wondered if that could be done?,card_linking,You can download the app to watch the instruction,,,,
159,"i got my card now, how do i make it show up in the app?",card_linking,You can download the app to watch the instruction,,,,
160,how do i link an existing card?,card_linking,You can download the app to watch the instruction,,,,
161,how do i link a new card in the app?,card_linking,You can download the app to watch the instruction,,,,
162,i already have a card and want to link it,card_linking,You can download the app to watch the instruction,,,,
163,can you please reactivate my card?,card_linking,You can download the app to watch the instruction,,,,
164,where do i go to add a new card?,card_linking,You can download the app to watch the instruction,,,,
165,i want my card i just received to show up in the app. how do i do that?,card_linking,You can download the app to watch the instruction,,,,
166,"i received my card, how do i get it to show in the app?",card_linking,You can download the app to watch the instruction,,,,
167,how do i add my new card?,card_linking,You can download the app to watch the instruction,,,,
168,"i want to reactivate my card, i thought i had lost it but found it again this morning.",card_linking,You can download the app to watch the instruction,,,,
169,"i need a card reactivation, i had reported my card lost but i ran across it in my jacket.",card_linking,You can download the app to watch the instruction,,,,
170,my card is no longer lost. how do i enter it back into the app?,card_linking,You can download the app to watch the instruction,,,,
171,"i want to reactivate my card, i thought i had lost it but found it again in my jacket.",card_linking,You can download the app to watch the instruction,,,,
172,"may i reactivate my card? i previously reported it lost, but have now found it safe and sound.",card_linking,You can download the app to watch the instruction,,,,
173,how do i reactivate a card i thought i lost?,card_linking,You can download the app to watch the instruction,,,,
174,help me figure out how to link the new card.,card_linking,You can download the app to watch the instruction,,,,
175,i found my lost card. am i still able to use it?,card_linking,You can download the app to watch the instruction,,,,
176,will i need a new card or can i put my old card back into the app?,card_linking,You can download the app to watch the instruction,,,,
177,is there a way to link the card i just got?,card_linking,You can download the app to watch the instruction,,,,
178,how do i add a new card?,card_linking,You can download the app to watch the instruction,,,,
179,"i want to reactivate my card, i found it after thinking it was lost.",card_linking,You can download the app to watch the instruction,,,,
180,can i put my old card back in the app?,card_linking,You can download the app to watch the instruction,,,,
181,"i got a new card, how do i link it?",card_linking,You can download the app to watch the instruction,,,,
182,i found the card i thought i lost this morning. can i reactivate this card?,card_linking,You can download the app to watch the instruction,,,,
183,how do i go about linking a new card?,card_linking,You can download the app to watch the instruction,,,,
184,how do i get the card linked,card_linking,You can download the app to watch the instruction,,,,
185,how do i link an old card?,card_linking,You can download the app to watch the instruction,,,,
186,"now that i have my card, how do i connect it to the app?",card_linking,You can download the app to watch the instruction,,,,
187,how do i add the card i just received to show up in the app?,card_linking,You can download the app to watch the instruction,,,,
188,"i want to reactivate my card, i thought i had lost it but i found it.",card_linking,You can download the app to watch the instruction,,,,
189,what do i need to do to link my new card for my account?,card_linking,You can download the app to watch the instruction,,,,
190,can i add a card to back into the app?,card_linking,You can download the app to watch the instruction,,,,
191,i want to link my new card. can you help?,card_linking,You can download the app to watch the instruction,,,,
192,"i have found my lost or stolen card, would i still have to activate the new card that was sent to me through the mail in order to access my account?",card_linking,You can download the app to watch the instruction,,,,
193,where can i link a new card?,card_linking,You can download the app to watch the instruction,,,,
194,"i found my card in my jacket this morning, so can i reactivate it?",card_linking,You can download the app to watch the instruction,,,,
195,"i've obtained the card, how do i enable it on the app?",card_linking,You can download the app to watch the instruction,,,,
196,i need to find the card i received in the app.,card_linking,You can download the app to watch the instruction,,,,
197,how do i get my card on the app?,card_linking,You can download the app to watch the instruction,,,,
198,"in the app, how can i make it show the new card that arrived?",card_linking,You can download the app to watch the instruction,,,,
199,how do i link my new card?,card_linking,You can download the app to watch the instruction,,,,
200,can i activate a card in the app?,card_linking,You can download the app to watch the instruction,,,,
201,"i want to link to my card card with you, how?",card_linking,You can download the app to watch the instruction,,,,
202,i would like to link my card to my account.,card_linking,You can download the app to watch the instruction,,,,
203,"i thought i lost my card so i cancelled it, but recently i found it in my jacket and i would like to re-establish the card.",card_linking,You can download the app to watch the instruction,,,,
204,how can i link the new card?,card_linking,You can download the app to watch the instruction,,,,
205,i got a new card and can't find where to link it.,card_linking,You can download the app to watch the instruction,,,,
206,"hey, i have my card, how do i get it to show in the app?",card_linking,You can download the app to watch the instruction,,,,
207,where in the app do i go to make my new card show up?,card_linking,You can download the app to watch the instruction,,,,
208,where do i scan my card?,card_linking,You can download the app to watch the instruction,,,,
209,can i reactivate my card? i reported it lost and found it this morning in my jacket.,card_linking,You can download the app to watch the instruction,,,,
210,"i want to reactivate my card, i thought i had lost it but found it again in my jacket this morning.",card_linking,You can download the app to watch the instruction,,,,
211,"i'd lke my card reactivated, i was thinking it was misplaced but i discovered when i woke up that i had left it in my coat.",card_linking,You can download the app to watch the instruction,,,,
212,you sent me a card and now i want to link it.,card_linking,You can download the app to watch the instruction,,,,
213,how do i add my new card to the app?,card_linking,You can download the app to watch the instruction,,,,
214,what if i want to add a card i already have to the app?,card_linking,You can download the app to watch the instruction,,,,
215,"i recently reported my card as missing/lost, and i just found it. can i still use it?",card_linking,You can download the app to watch the instruction,,,,
216,"could i reactivate my card please, i couldn't find it but it turns out it was in my jacket pocket.",card_linking,You can download the app to watch the instruction,,,,
217,is there a way to link cards if i have one of yours?,card_linking,You can download the app to watch the instruction,,,,
218,how do i link a new card to an existing one?,card_linking,You can download the app to watch the instruction,,,,
219,how do i link a new payment card?,card_linking,You can download the app to watch the instruction,,,,
220,i would like to reactivate my card that i previously reported lost. i located the card this morning.,card_linking,You can download the app to watch the instruction,,,,
221,"card has been received, how will it show up on the app?",card_linking,You can download the app to watch the instruction,,,,
222,can i re-link a lost card with the app?,card_linking,You can download the app to watch the instruction,,,,
223,is it possible to link a new card?,card_linking,You can download the app to watch the instruction,,,,
224,"i found my card that i thought i had lost, i need to reactive it, please help.",card_linking,You can download the app to watch the instruction,,,,
225,can i put my found card back into the app on my phone?,card_linking,You can download the app to watch the instruction,,,,
226,i found my card again. can i put it back into the app?,card_linking,You can download the app to watch the instruction,,,,
227,i need some help linking my new card.,card_linking,You can download the app to watch the instruction,,,,
228,help me link my card,card_linking,You can download the app to watch the instruction,,,,
229,how do i link my card in the app.,card_linking,You can download the app to watch the instruction,,,,
230,how do i reactivate my card?,card_linking,You can download the app to watch the instruction,,,,
231,where do i go to get my new card linked?,card_linking,You can download the app to watch the instruction,,,,
232,"i thought i lost my card but i found it today, so i would like to reactivate it.",card_linking,You can download the app to watch the instruction,,,,
233,how do i link the new card that i just got from you guys?,card_linking,You can download the app to watch the instruction,,,,
234,how can i add a new card?,card_linking,You can download the app to watch the instruction,,,,
235,can you tell me how to get my card on the app?,card_linking,You can download the app to watch the instruction,,,,
236,is it possible to reactivate the card i thought i lost but found this morning in my jacket?,card_linking,You can download the app to watch the instruction,,,,
237,how do i make my card appear on the app?,card_linking,You can download the app to watch the instruction,,,,
238,how do i link the new card?,card_linking,You can download the app to watch the instruction,,,,
239,where in the app do i link a new card?,card_linking,You can download the app to watch the instruction,,,,
240,how do i add my card to the app once i get it?,card_linking,You can download the app to watch the instruction,,,,
241,can i link your physical card,card_linking,You can download the app to watch the instruction,,,,
242,how do i activate and link my new card?,card_linking,You can download the app to watch the instruction,,,,
243,"i got a card, how do i get it in the app?",card_linking,You can download the app to watch the instruction,,,,
244,i received my new card.  where is it in the app?,card_linking,You can download the app to watch the instruction,,,,
245,"i found my card, how can i use it again?",card_linking,You can download the app to watch the instruction,,,,
246,"found card, how to put it back in app",card_linking,You can download the app to watch the instruction,,,,
247,how do i see my card in the app?,card_linking,You can download the app to watch the instruction,,,,
248,"the card i thought i lost was in my jacket pocket this morning, so can i reactivate that?",card_linking,You can download the app to watch the instruction,,,,
249,i don't see my card anywhere in the app.,card_linking,You can download the app to watch the instruction,,,,
250,"i received my card, how do i get it to work in the app?",card_linking,You can download the app to watch the instruction,,,,
251,what do i do if i already had a card with you guys?,card_linking,You can download the app to watch the instruction,,,,
252,if i found a lost card can i put it back in app,card_linking,You can download the app to watch the instruction,,,,
253,i have a card that was deactivated can i reactivate it?,card_linking,You can download the app to watch the instruction,,,,
254,"my new card isn't in my app, how do i get it in there?",card_linking,You can download the app to watch the instruction,,,,
255,help me access the card i already got so i can information from it.,card_linking,You can download the app to watch the instruction,,,,
256,what is my money worth in other countries?,exchange_rate,what kind of exchange you are looking for,,,,
257,do you know the rate of exchange?,exchange_rate,what kind of exchange you are looking for,,,,
258,what foreign exchange rate will i get on weekdays and on the weekends?,exchange_rate,what kind of exchange you are looking for,,,,
259,what is the exchange looking like?,exchange_rate,what kind of exchange you are looking for,,,,
260,how is the exchange rate doing?,exchange_rate,what kind of exchange you are looking for,,,,
261,i would like to know how exchange rates are calculated when transferring funds.,exchange_rate,what kind of exchange you are looking for,,,,
262,i would like to know what exchange rates you use?,exchange_rate,what kind of exchange you are looking for,,,,
263,"if i need to cash foreign transfers, how does that work?",exchange_rate,what kind of exchange you are looking for,,,,
264,do you know what your exchange rates are?,exchange_rate,what kind of exchange you are looking for,,,,
265,how do i know what exchange rate i will get?,exchange_rate,what kind of exchange you are looking for,,,,
266,what are you exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
267,do you have the best exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
268,your exchange rates come from where?,exchange_rate,what kind of exchange you are looking for,,,,
269,i need to know what your exchange rates are.,exchange_rate,what kind of exchange you are looking for,,,,
270,what's the process for exchanges?,exchange_rate,what kind of exchange you are looking for,,,,
271,what do you think of the exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
272,how are exchange rates calculated at this bank?,exchange_rate,what kind of exchange you are looking for,,,,
273,what's the foreign exchange rate i will receive?,exchange_rate,what kind of exchange you are looking for,,,,
274,i need to know what foreign exchange rate i can get.,exchange_rate,what kind of exchange you are looking for,,,,
275,what are the current exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
276,what exchange rate will i receive?,exchange_rate,what kind of exchange you are looking for,,,,
277,how's the exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
278,how do you determine your exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
279,how do the foreign exchange rates work?,exchange_rate,what kind of exchange you are looking for,,,,
280,how is the exchange rate calculated?,exchange_rate,what kind of exchange you are looking for,,,,
281,i'm interested in what your exchange rates are based on.,exchange_rate,what kind of exchange you are looking for,,,,
282,how do you decide what the exchange rates are?,exchange_rate,what kind of exchange you are looking for,,,,
283,what is the current exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
284,what are interbanks current exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
285,from where are coming your exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
286,how do you calculate exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
287,where can i get your exchange rates from?,exchange_rate,what kind of exchange you are looking for,,,,
288,how are exchange rates determined?,exchange_rate,what kind of exchange you are looking for,,,,
289,please explain your exchange rate policy.,exchange_rate,what kind of exchange you are looking for,,,,
290,what are your exchange rates calculated from?,exchange_rate,what kind of exchange you are looking for,,,,
291,what is an exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
292,what is your opinion on the exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
293,how do you determine exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
294,how are your exchange rates calculated?,exchange_rate,what kind of exchange you are looking for,,,,
295,how is an exchange rate calculated?,exchange_rate,what kind of exchange you are looking for,,,,
296,"when exchanging, how much are the rates?",exchange_rate,what kind of exchange you are looking for,,,,
297,what is the exchange rate for eur?,exchange_rate,what kind of exchange you are looking for,,,,
298,how can i find your exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
299,could you please tell me your exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
300,is there an exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
301,how does the exchange rate work?,exchange_rate,what kind of exchange you are looking for,,,,
302,what is the present state of the exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
303,how are foreign exchange rates determined?,exchange_rate,what kind of exchange you are looking for,,,,
304,how's the exchange rate looking right now?,exchange_rate,what kind of exchange you are looking for,,,,
305,please explain the exchange rates.,exchange_rate,what kind of exchange you are looking for,,,,
306,what is the foreign exchange rate you will apply?,exchange_rate,what kind of exchange you are looking for,,,,
307,explain the interbank exchange rate,exchange_rate,what kind of exchange you are looking for,,,,
308,what will my exchange rate be?,exchange_rate,what kind of exchange you are looking for,,,,
309,how do you get exchange rates,exchange_rate,what kind of exchange you are looking for,,,,
310,what exchange rates do you use?,exchange_rate,what kind of exchange you are looking for,,,,
311,how will i know what the exchange rate is?,exchange_rate,what kind of exchange you are looking for,,,,
312,what factors effect the exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
313,where does the exchange rate stand right now?,exchange_rate,what kind of exchange you are looking for,,,,
314,i'd like to know what the foreign exchange rate will be.,exchange_rate,what kind of exchange you are looking for,,,,
315,how do your exchange rates factor in?,exchange_rate,what kind of exchange you are looking for,,,,
316,how do i know what the exchange rate will be when i make an exchange.,exchange_rate,what kind of exchange you are looking for,,,,
317,is the exchange rate the same on weekends as the weekdays?,exchange_rate,what kind of exchange you are looking for,,,,
318,how do you do exchanges?,exchange_rate,what kind of exchange you are looking for,,,,
319,on what do you base your exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
320,how do you come up with your exchange rate,exchange_rate,what kind of exchange you are looking for,,,,
321,what factors determine your exchange rate?,exchange_rate,what kind of exchange you are looking for,,,,
322,how are the exchange rates determined?,exchange_rate,what kind of exchange you are looking for,,,,
323,i would like to know what your exchange rates are.,exchange_rate,what kind of exchange you are looking for,,,,
324,is the exchange rate current?,exchange_rate,what kind of exchange you are looking for,,,,
325,what are the exchange rates?,exchange_rate,what kind of exchange you are looking for,,,,
326,how do you decide what your exchange rates are?,exchange_rate,what kind of exchange you are looking for,,,,
327,your exchange rates are coming from where?,exchange_rate,what kind of exchange you are looking for,,,,
